idx,eventId,activity,timestamp,timestampVar,box,batchPosition,equipment,log
34.0,e35,UnloadSS,31/10/2023 10:00:34,t35,,y,3012.0,
35.0,e36,LoadFS,31/10/2023 10:00:35,t36,,,3012.0,ExtendedExample
,e37,,31/10/2023 10:00:36,t37,,,3012.0,ExtendedExample
37.0,,,31/10/2023 10:00:37,,,,3012.0,ExtendedExample
38.0,e39,UnloadFS,31/10/2023 10:00:38,t39,,,3012.0,
39.0,e40,,31/10/2023 10:00:39,t40,,x,,ExtendedExample
,e41,Close,31/10/2023 10:00:40,t41,,,3012.0,ExtendedExample
41.0,e42,Seal,31/10/2023 10:00:41,t42,b5,,3012.0,ExtendedExample
42.0,e43,UnloadSS,,,,x,3012.0,ExtendedExample
43.0,e44,LoadFS,31/10/2023 10:00:43,t44,,z,3012.0,ExtendedExample
44.0,e45,Open,,t45,,,3012.0,ExtendedExample
45.0,e46,,31/10/2023 10:00:45,t46,,,,ExtendedExample
46.0,e47,UnloadFS,31/10/2023 10:00:46,t47,,z,,ExtendedExample
,e48,LoadSS,,,,z,3012.0,ExtendedExample
,,Close,31/10/2023 10:00:48,t49,,,3012.0,ExtendedExample
49.0,e50,Seal,31/10/2023 10:00:49,t50,b6,,,ExtendedExample
50.0,e51,UnloadSS,31/10/2023 10:00:50,t51,,z,3012.0,
51.0,e52,UnloadAL,31/10/2023 10:00:51,t52,,,3012.0,ExtendedExample
52.0,e53,LoadAL,31/10/2023 10:00:52,t53,,,3465.0,
,e54,LoadFS,31/10/2023 10:00:53,t54,,y,3465.0,ExtendedExample
,e55,Open,31/10/2023 10:00:54,t55,,,,ExtendedExample
,e56,Fill,31/10/2023 10:00:55,,,,3465.0,ExtendedExample
,e57,UnloadFS,31/10/2023 10:00:56,t57,,y,,ExtendedExample
57.0,e58,LoadSS,,t58,,y,,ExtendedExample
58.0,,Close,31/10/2023 10:00:58,t59,,,,ExtendedExample
59.0,,Seal,31/10/2023 10:00:59,t60,b7,,3465.0,
60.0,,UnloadSS,31/10/2023 10:01:00,t61,,,,ExtendedExample
61.0,e62,LoadFS,31/10/2023 10:01:01,,,z,3465.0,ExtendedExample
,e63,Open,31/10/2023 10:01:02,t63,,,3465.0,ExtendedExample
,e64,,31/10/2023 10:01:03,t64,,,3465.0,ExtendedExample
64.0,e65,UnloadFS,31/10/2023 10:01:04,t65,,z,3465.0,ExtendedExample
65.0,,LoadSS,31/10/2023 10:01:05,t66,,z,3465.0,
,e67,Close,31/10/2023 10:01:06,t67,,,3465.0,ExtendedExample
,e68,Seal,31/10/2023 10:01:07,t68,b8,,3465.0,ExtendedExample
68.0,,,31/10/2023 10:01:08,t69,,z,,ExtendedExample
69.0,e70,LoadFS,31/10/2023 10:01:09,t70,,,3465.0,
70.0,e71,Open,31/10/2023 10:01:10,t71,,,3465.0,ExtendedExample
71.0,e72,,31/10/2023 10:01:11,t72,,,3465.0,ExtendedExample
72.0,e73,UnloadFS,31/10/2023 10:01:12,t73,,x,3465.0,ExtendedExample
73.0,e74,LoadSS,31/10/2023 10:01:13,t74,,,3465.0,ExtendedExample
74.0,,Close,31/10/2023 10:01:14,t75,,,3465.0,ExtendedExample
75.0,e76,Seal,31/10/2023 10:01:15,t76,b9,,3465.0,ExtendedExample
,,UnloadSS,31/10/2023 10:01:16,t77,,x,,ExtendedExample
77.0,e78,UnloadAL,31/10/2023 10:01:17,t78,,,3465.0,ExtendedExample
78.0,e79,,31/10/2023 10:01:18,t79,,,3465.0,ExtendedExample
79.0,e80,LoadFS,31/10/2023 10:01:19,t80,,,3465.0,ExtendedExample
80.0,e81,Open,,,,,3465.0,ExtendedExample
81.0,,Fill,31/10/2023 10:01:21,t82,,,,ExtendedExample
82.0,e83,UnloadFS,31/10/2023 10:01:22,t83,,x,3465.0,ExtendedExample
,e84,,31/10/2023 10:01:23,t84,,x,3465.0,ExtendedExample
84.0,e85,Close,31/10/2023 10:01:24,t85,,,3465.0,ExtendedExample
85.0,e86,Seal,31/10/2023 10:01:25,t86,b10,,3465.0,ExtendedExample
86.0,e87,UnloadSS,31/10/2023 10:01:26,t87,,x,3465.0,ExtendedExample
87.0,e88,LoadFS,31/10/2023 10:01:27,,,z,3465.0,
,e89,Open,31/10/2023 10:01:28,t89,,,3465.0,
89.0,e90,,31/10/2023 10:01:29,t90,,,3465.0,
90.0,e91,,31/10/2023 10:01:30,t91,,,3465.0,
91.0,e92,LoadSS,,,,z,3465.0,ExtendedExample
92.0,e93,Close,31/10/2023 10:01:32,t93,,,3465.0,ExtendedExample
93.0,e94,Seal,,t94,b11,,3465.0,ExtendedExample
94.0,e95,,,t95,,z,3465.0,
95.0,e96,LoadFS,31/10/2023 10:01:35,t96,,,3465.0,ExtendedExample
,e97,Open,,t97,,,3465.0,ExtendedExample
97.0,e98,Fill,31/10/2023 10:01:37,,,,3465.0,ExtendedExample
98.0,,,,t99,,y,3465.0,ExtendedExample
99.0,e100,LoadSS,31/10/2023 10:01:39,t100,,y,3465.0,
100.0,,Close,31/10/2023 10:01:40,t101,,,,ExtendedExample
101.0,e102,Seal,31/10/2023 10:01:41,t102,b12,,3465.0,ExtendedExample
102.0,e103,UnloadSS,31/10/2023 10:01:42,t103,,,3465.0,ExtendedExample
,e104,UnloadAL,31/10/2023 10:01:43,,,,3465.0,ExtendedExample
104.0,e105,LoadAL,31/10/2023 10:01:44,t105,,,3465.0,ExtendedExample
105.0,,LoadFS,31/10/2023 10:01:45,t106,,x,3465.0,ExtendedExample
,e107,Open,31/10/2023 10:01:46,,,,3465.0,ExtendedExample
,e108,Fill,31/10/2023 10:01:47,t108,,,3465.0,ExtendedExample
108.0,e109,UnloadFS,31/10/2023 10:01:48,t109,,x,,ExtendedExample
,,LoadSS,,t110,,,3465.0,
110.0,e111,Close,31/10/2023 10:01:50,t111,,,3465.0,ExtendedExample
111.0,,Seal,,,b13,,3465.0,
112.0,e113,,,t113,,,3465.0,ExtendedExample
,,LoadFS,31/10/2023 10:01:53,t114,,z,3465.0,ExtendedExample
114.0,e115,Open,31/10/2023 10:01:54,,,,,ExtendedExample
115.0,e116,Fill,,t116,,,,ExtendedExample
116.0,e117,UnloadFS,31/10/2023 10:01:56,t117,,z,3465.0,ExtendedExample
117.0,e118,LoadSS,31/10/2023 10:01:57,t118,,z,3465.0,ExtendedExample
118.0,e119,Close,31/10/2023 10:01:58,t119,,,3465.0,
119.0,e120,Seal,,t120,b14,,,ExtendedExample
120.0,e121,UnloadSS,31/10/2023 10:02:00,t121,,z,3465.0,ExtendedExample
121.0,e122,LoadFS,31/10/2023 10:02:01,,,y,,ExtendedExample
122.0,,Open,31/10/2023 10:02:02,t123,,,3465.0,ExtendedExample
123.0,e124,,31/10/2023 10:02:03,,,,3465.0,ExtendedExample
124.0,e125,UnloadFS,31/10/2023 10:02:04,t125,,y,,ExtendedExample
,e126,LoadSS,,t126,,y,3465.0,ExtendedExample
126.0,e127,,31/10/2023 10:02:06,,,,3465.0,ExtendedExample
127.0,,,31/10/2023 10:02:07,,b15,,3465.0,ExtendedExample
128.0,e129,UnloadSS,,t129,,y,3465.0,ExtendedExample
129.0,,UnloadAL,31/10/2023 10:02:09,t130,,,3465.0,
130.0,,LoadAL,31/10/2023 10:02:10,t131,,,,ExtendedExample
131.0,e132,LoadFS,,t132,,z,8465.0,
132.0,e133,Open,,t133,,,8465.0,ExtendedExample
133.0,,Fill,,t134,,,8465.0,ExtendedExample
134.0,e135,,31/10/2023 10:02:14,t135,,z,,ExtendedExample
135.0,e136,,31/10/2023 10:02:15,t136,,z,8465.0,ExtendedExample
136.0,,Close,,t137,,,8465.0,ExtendedExample
137.0,e138,Seal,31/10/2023 10:02:17,t138,b16,,8465.0,ExtendedExample
138.0,e139,,31/10/2023 10:02:18,,,z,,ExtendedExample
139.0,e140,LoadFS,,t140,,y,8465.0,ExtendedExample
140.0,e141,Open,31/10/2023 10:02:20,,,,8465.0,
141.0,e142,Fill,,t142,,,8465.0,ExtendedExample
142.0,e143,UnloadFS,31/10/2023 10:02:22,t143,,y,8465.0,ExtendedExample
143.0,,LoadSS,31/10/2023 10:02:23,t144,,y,,
,,Close,,,,,,ExtendedExample
,e146,Seal,31/10/2023 10:02:25,t146,b17,,8465.0,ExtendedExample
,e147,,31/10/2023 10:02:26,t147,,y,8465.0,ExtendedExample
147.0,e148,LoadFS,31/10/2023 10:02:27,t148,,,8465.0,ExtendedExample
148.0,,Open,31/10/2023 10:02:28,t149,,,8465.0,ExtendedExample
,e150,Fill,31/10/2023 10:02:29,t150,,,8465.0,ExtendedExample
150.0,e151,UnloadFS,,t151,,x,8465.0,ExtendedExample
151.0,e152,LoadSS,31/10/2023 10:02:31,t152,,x,8465.0,ExtendedExample
152.0,e153,Close,,t153,,,,ExtendedExample
153.0,,Seal,,t154,b18,,,ExtendedExample
154.0,e155,UnloadSS,31/10/2023 10:02:34,t155,,x,8465.0,ExtendedExample
,e156,UnloadAL,31/10/2023 10:02:35,t156,,,8465.0,ExtendedExample
156.0,e157,,31/10/2023 10:02:36,t157,,,7465.0,ExtendedExample
157.0,e158,,31/10/2023 10:02:37,,,y,7465.0,
,,Open,31/10/2023 10:02:38,,,,7465.0,
159.0,e160,Fill,31/10/2023 10:02:39,,,,,ExtendedExample
160.0,e161,UnloadFS,,t161,,y,7465.0,ExtendedExample
161.0,,,31/10/2023 10:02:41,t162,,,7465.0,ExtendedExample
162.0,e163,Close,31/10/2023 10:02:42,t163,,,7465.0,ExtendedExample
163.0,,Seal,,t164,b19,,7465.0,ExtendedExample
,e165,UnloadSS,31/10/2023 10:02:44,t165,,y,7465.0,
,,LoadFS,31/10/2023 10:02:45,t166,,,7465.0,ExtendedExample
166.0,e167,Open,,t167,,,7465.0,ExtendedExample
167.0,e168,Fill,,,,,7465.0,ExtendedExample
168.0,e169,UnloadFS,31/10/2023 10:02:48,t169,,z,,
169.0,e170,LoadSS,31/10/2023 10:02:49,t170,,z,7465.0,ExtendedExample
,e171,,31/10/2023 10:02:50,,,,7465.0,ExtendedExample
,e172,Seal,31/10/2023 10:02:51,,b20,,7465.0,ExtendedExample
172.0,e173,UnloadSS,31/10/2023 10:02:52,t173,,z,7465.0,ExtendedExample
173.0,e174,LoadFS,31/10/2023 10:02:53,t174,,x,,ExtendedExample
174.0,e175,Open,31/10/2023 10:02:54,t175,,,7465.0,ExtendedExample
175.0,e176,,31/10/2023 10:02:55,t176,,,7465.0,ExtendedExample
,e177,UnloadFS,31/10/2023 10:02:56,t177,,x,,ExtendedExample
177.0,,LoadSS,,t178,,,,
178.0,e179,Close,,t179,,,,ExtendedExample
179.0,e180,Seal,31/10/2023 10:02:59,t180,b21,,,ExtendedExample
180.0,e181,UnloadSS,31/10/2023 10:03:00,,,x,7465.0,ExtendedExample
181.0,e182,UnloadAL,,t182,,,7465.0,ExtendedExample
182.0,,,31/10/2023 10:03:02,t183,,,5465.0,ExtendedExample
183.0,e184,LoadFS,31/10/2023 10:03:03,,,y,5465.0,ExtendedExample
184.0,e185,Open,,t185,,,5465.0,
185.0,,Fill,31/10/2023 10:03:05,t186,,,5465.0,ExtendedExample
186.0,e187,UnloadFS,31/10/2023 10:03:06,t187,,y,5465.0,
187.0,e188,LoadSS,31/10/2023 10:03:07,t188,,y,,ExtendedExample
,e189,Close,31/10/2023 10:03:08,t189,,,5465.0,ExtendedExample
189.0,e190,,,,b22,,,ExtendedExample
190.0,e191,UnloadSS,31/10/2023 10:03:10,t191,,y,5465.0,ExtendedExample
191.0,e192,,31/10/2023 10:03:11,t192,,x,5465.0,ExtendedExample
,,Open,,t193,,,,ExtendedExample
,e194,,31/10/2023 10:03:13,t194,,,5465.0,ExtendedExample
,e195,UnloadFS,,t195,,x,5465.0,
195.0,e196,,31/10/2023 10:03:15,t196,,x,,ExtendedExample
196.0,e197,Close,31/10/2023 10:03:16,t197,,,5465.0,ExtendedExample
197.0,e198,Seal,31/10/2023 10:03:17,t198,b23,,5465.0,
198.0,e199,,31/10/2023 10:03:18,,,x,5465.0,ExtendedExample
199.0,,LoadFS,31/10/2023 10:03:19,t200,,z,5465.0,ExtendedExample
200.0,e201,Open,,t201,,,5465.0,ExtendedExample
201.0,,Fill,31/10/2023 10:03:21,t202,,,5465.0,
202.0,e203,,31/10/2023 10:03:22,t203,,,5465.0,ExtendedExample
203.0,e204,LoadSS,31/10/2023 10:03:23,,,z,5465.0,ExtendedExample
204.0,e205,Close,31/10/2023 10:03:24,t205,,,5465.0,ExtendedExample
205.0,,Seal,31/10/2023 10:03:25,t206,b24,,,
206.0,e207,,31/10/2023 10:03:26,t207,,z,5465.0,ExtendedExample
,,UnloadAL,,t208,,,,ExtendedExample
208.0,e209,LoadAL,31/10/2023 10:03:28,t209,,,5012.0,ExtendedExample
209.0,,LoadFS,31/10/2023 10:03:29,t210,,z,5012.0,
210.0,,,,t211,,,5012.0,ExtendedExample
,e212,Fill,31/10/2023 10:03:31,t212,,,5012.0,
212.0,e213,UnloadFS,31/10/2023 10:03:32,t213,,z,5012.0,
213.0,e214,,,t214,,z,5012.0,ExtendedExample
214.0,e215,,31/10/2023 10:03:34,t215,,,,
215.0,e216,Seal,,t216,b25,,5012.0,ExtendedExample
216.0,e217,UnloadSS,31/10/2023 10:03:36,t217,,z,5012.0,ExtendedExample
217.0,e218,,31/10/2023 10:03:37,t218,,,5012.0,ExtendedExample
,,,,t219,,,5012.0,ExtendedExample
219.0,e220,Fill,31/10/2023 10:03:39,t220,,,5012.0,ExtendedExample
220.0,e221,UnloadFS,31/10/2023 10:03:40,t221,,y,5012.0,ExtendedExample
221.0,e222,LoadSS,31/10/2023 10:03:41,t222,,y,5012.0,ExtendedExample
,e223,Close,,t223,,,5012.0,ExtendedExample
223.0,e224,Seal,31/10/2023 10:03:43,,b26,,5012.0,ExtendedExample
224.0,e225,UnloadSS,31/10/2023 10:03:44,t225,,y,5012.0,ExtendedExample
225.0,,LoadFS,31/10/2023 10:03:45,t226,,x,5012.0,ExtendedExample
226.0,e227,Open,,t227,,,5012.0,ExtendedExample
227.0,e228,Fill,31/10/2023 10:03:47,,,,5012.0,
,e229,,31/10/2023 10:03:48,,,,5012.0,ExtendedExample
229.0,e230,,,t230,,x,,ExtendedExample
230.0,e231,Close,,t231,,,5012.0,ExtendedExample
,e232,Seal,31/10/2023 10:03:51,t232,b27,,5012.0,ExtendedExample
232.0,e233,UnloadSS,31/10/2023 10:03:52,,,x,5012.0,ExtendedExample
233.0,e234,UnloadAL,31/10/2023 10:03:53,t234,,,5012.0,
234.0,e235,LoadAL,31/10/2023 10:03:54,t235,,,6465.0,ExtendedExample
,e236,,,t236,,x,6465.0,ExtendedExample
236.0,e237,Open,,,,,6465.0,ExtendedExample
237.0,e238,Fill,31/10/2023 10:03:57,,,,6465.0,
238.0,e239,UnloadFS,,t239,,x,,ExtendedExample
239.0,,LoadSS,31/10/2023 10:03:59,,,x,6465.0,ExtendedExample
,e241,Close,31/10/2023 10:04:00,t241,,,6465.0,ExtendedExample
241.0,e242,,31/10/2023 10:04:01,t242,b28,,,ExtendedExample
242.0,,UnloadSS,31/10/2023 10:04:02,t243,,,,ExtendedExample
243.0,e244,LoadFS,,t244,,,6465.0,ExtendedExample
,e245,,31/10/2023 10:04:04,,,,6465.0,
,e246,,31/10/2023 10:04:05,t246,,,6465.0,
246.0,,UnloadFS,31/10/2023 10:04:06,t247,,,6465.0,ExtendedExample
247.0,e248,LoadSS,,t248,,z,6465.0,ExtendedExample
248.0,e249,Close,31/10/2023 10:04:08,t249,,,,ExtendedExample
249.0,,Seal,31/10/2023 10:04:09,t250,b29,,,ExtendedExample
250.0,e251,UnloadSS,31/10/2023 10:04:10,t251,,z,6465.0,ExtendedExample
251.0,e252,,31/10/2023 10:04:11,t252,,y,,ExtendedExample
252.0,,Open,31/10/2023 10:04:12,t253,,,6465.0,ExtendedExample
,e254,Fill,31/10/2023 10:04:13,t254,,,,ExtendedExample
254.0,e255,UnloadFS,31/10/2023 10:04:14,t255,,y,,ExtendedExample
255.0,e256,LoadSS,31/10/2023 10:04:15,,,y,,ExtendedExample
256.0,e257,Close,,t257,,,6465.0,ExtendedExample
257.0,,Seal,31/10/2023 10:04:17,t258,b30,,6465.0,ExtendedExample
258.0,e259,UnloadSS,31/10/2023 10:04:18,t259,,,6465.0,ExtendedExample
,e260,UnloadAL,31/10/2023 10:04:19,t260,,,6465.0,
,,LoadAL,31/10/2023 10:04:20,,,,9012.0,
261.0,e262,LoadFS,31/10/2023 10:04:21,t262,,z,9012.0,ExtendedExample
262.0,e263,Open,31/10/2023 10:04:22,t263,,,9012.0,ExtendedExample
,e264,,31/10/2023 10:04:23,,,,9012.0,ExtendedExample
264.0,e265,UnloadFS,31/10/2023 10:04:24,t265,,z,,
265.0,e266,LoadSS,31/10/2023 10:04:25,t266,,z,9012.0,ExtendedExample
,,,31/10/2023 10:04:26,t267,,,,ExtendedExample
267.0,e268,Seal,31/10/2023 10:04:27,t268,b31,,9012.0,
268.0,e269,UnloadSS,31/10/2023 10:04:28,t269,,,9012.0,ExtendedExample
,,LoadFS,,t270,,x,9012.0,ExtendedExample
270.0,e271,Open,31/10/2023 10:04:30,t271,,,9012.0,ExtendedExample
271.0,e272,Fill,31/10/2023 10:04:31,t272,,,9012.0,
272.0,,UnloadFS,31/10/2023 10:04:32,t273,,x,,ExtendedExample
273.0,e274,LoadSS,31/10/2023 10:04:33,t274,,,9012.0,
274.0,e275,,31/10/2023 10:04:34,,,,,ExtendedExample
,e276,Seal,31/10/2023 10:04:35,t276,b32,,,ExtendedExample
276.0,e277,UnloadSS,31/10/2023 10:04:36,t277,,,9012.0,ExtendedExample
277.0,e278,LoadFS,,t278,,y,,
278.0,e279,Open,,t279,,,,ExtendedExample
279.0,e280,Fill,31/10/2023 10:04:39,t280,,,,ExtendedExample
280.0,e281,UnloadFS,31/10/2023 10:04:40,t281,,y,9012.0,
281.0,e282,LoadSS,,t282,,y,,ExtendedExample
282.0,e283,Close,,t283,,,9012.0,ExtendedExample
283.0,e284,Seal,31/10/2023 10:04:43,t284,b33,,9012.0,ExtendedExample
284.0,e285,UnloadSS,31/10/2023 10:04:44,t285,,y,9012.0,ExtendedExample
285.0,e286,UnloadAL,31/10/2023 10:04:45,t286,,,9012.0,ExtendedExample
286.0,e287,LoadAL,31/10/2023 10:04:46,,,,8012.0,ExtendedExample
287.0,e288,LoadFS,31/10/2023 10:04:47,t288,,x,8012.0,ExtendedExample
288.0,,Open,,,,,8012.0,ExtendedExample
289.0,e290,Fill,31/10/2023 10:04:49,,,,8012.0,
290.0,,UnloadFS,31/10/2023 10:04:50,t291,,,8012.0,ExtendedExample
291.0,e292,LoadSS,31/10/2023 10:04:51,t292,,x,8012.0,ExtendedExample
292.0,e293,Close,31/10/2023 10:04:52,t293,,,8012.0,ExtendedExample
293.0,e294,Seal,31/10/2023 10:04:53,t294,b34,,,
294.0,,UnloadSS,,t295,,x,,ExtendedExample
295.0,e296,,31/10/2023 10:04:55,t296,,z,8012.0,ExtendedExample
296.0,e297,,31/10/2023 10:04:56,,,,8012.0,ExtendedExample
297.0,e298,Fill,31/10/2023 10:04:57,t298,,,8012.0,
298.0,e299,,31/10/2023 10:04:58,t299,,z,,ExtendedExample
299.0,e300,,31/10/2023 10:04:59,t300,,z,8012.0,
300.0,,,31/10/2023 10:05:00,t301,,,8012.0,ExtendedExample
301.0,e302,Seal,31/10/2023 10:05:01,t302,b35,,8012.0,ExtendedExample
302.0,e303,UnloadSS,31/10/2023 10:05:02,t303,,z,8012.0,ExtendedExample
303.0,e304,LoadFS,31/10/2023 10:05:03,t304,,y,8012.0,ExtendedExample
304.0,,Open,31/10/2023 10:05:04,t305,,,,ExtendedExample
,e306,,31/10/2023 10:05:05,t306,,,8012.0,ExtendedExample
306.0,e307,,31/10/2023 10:05:06,t307,,y,8012.0,ExtendedExample
307.0,e308,LoadSS,31/10/2023 10:05:07,,,,8012.0,
,e309,Close,31/10/2023 10:05:08,t309,,,8012.0,ExtendedExample
309.0,e310,Seal,,t310,b36,,8012.0,ExtendedExample
310.0,e311,UnloadSS,31/10/2023 10:05:10,t311,,y,8012.0,ExtendedExample
311.0,e312,,31/10/2023 10:05:11,t312,,,8012.0,ExtendedExample
312.0,e313,LoadAL,,,,,8012.0,ExtendedExample
,e314,LoadFS,31/10/2023 10:05:13,t314,,y,8012.0,ExtendedExample
,e315,,31/10/2023 10:05:14,t315,,,,ExtendedExample
,e316,Fill,,t316,,,,ExtendedExample
316.0,e317,UnloadFS,31/10/2023 10:05:16,,,,8012.0,ExtendedExample
317.0,e318,LoadSS,31/10/2023 10:05:17,t318,,y,8012.0,ExtendedExample
318.0,,Close,31/10/2023 10:05:18,t319,,,8012.0,
319.0,e320,Seal,31/10/2023 10:05:19,,b37,,,ExtendedExample
320.0,e321,UnloadSS,31/10/2023 10:05:20,,,y,,ExtendedExample
321.0,e322,LoadFS,31/10/2023 10:05:21,t322,,z,8012.0,
322.0,e323,,31/10/2023 10:05:22,,,,8012.0,ExtendedExample
323.0,e324,,31/10/2023 10:05:23,t324,,,8012.0,
324.0,e325,UnloadFS,31/10/2023 10:05:24,,,z,8012.0,ExtendedExample
325.0,e326,LoadSS,,t326,,z,,ExtendedExample
,e327,Close,,t327,,,8012.0,ExtendedExample
,e328,Seal,31/10/2023 10:05:27,t328,b38,,,
328.0,e329,UnloadSS,31/10/2023 10:05:28,t329,,z,,ExtendedExample
329.0,e330,LoadFS,31/10/2023 10:05:29,t330,,x,8012.0,
,e331,Open,31/10/2023 10:05:30,t331,,,8012.0,ExtendedExample
331.0,e332,Fill,31/10/2023 10:05:31,t332,,,8012.0,
332.0,,UnloadFS,31/10/2023 10:05:32,t333,,x,8012.0,ExtendedExample
,e334,LoadSS,31/10/2023 10:05:33,t334,,x,8012.0,ExtendedExample
334.0,e335,,,,,,8012.0,ExtendedExample
335.0,e336,Seal,31/10/2023 10:05:35,t336,b39,,,ExtendedExample
,e337,UnloadSS,31/10/2023 10:05:36,t337,,,8012.0,ExtendedExample
337.0,e338,,,t338,,,8012.0,ExtendedExample
338.0,e339,LoadAL,31/10/2023 10:05:38,t339,,,3465.0,ExtendedExample
339.0,e340,,31/10/2023 10:05:39,t340,,x,3465.0,ExtendedExample
340.0,e341,,31/10/2023 10:05:40,t341,,,,ExtendedExample
341.0,e342,Fill,,t342,,,3465.0,ExtendedExample
342.0,e343,UnloadFS,31/10/2023 10:05:42,t343,,,3465.0,ExtendedExample
343.0,e344,LoadSS,31/10/2023 10:05:43,t344,,x,3465.0,ExtendedExample
,e345,Close,31/10/2023 10:05:44,t345,,,3465.0,ExtendedExample
345.0,e346,,,t346,b40,,,
346.0,e347,UnloadSS,31/10/2023 10:05:46,,,x,3465.0,ExtendedExample
,,LoadFS,31/10/2023 10:05:47,t348,,y,3465.0,ExtendedExample
,e349,Open,,,,,3465.0,ExtendedExample
349.0,,Fill,31/10/2023 10:05:49,t350,,,3465.0,
350.0,,,,t351,,y,,
351.0,e352,,,t352,,y,3465.0,
,e353,Close,31/10/2023 10:05:52,,,,3465.0,ExtendedExample
353.0,e354,Seal,31/10/2023 10:05:53,t354,b41,,3465.0,ExtendedExample
354.0,e355,UnloadSS,,t355,,y,,
355.0,e356,LoadFS,31/10/2023 10:05:55,t356,,,3465.0,ExtendedExample
356.0,,Open,31/10/2023 10:05:56,t357,,,3465.0,ExtendedExample
357.0,e358,Fill,,t358,,,3465.0,ExtendedExample
358.0,e359,UnloadFS,31/10/2023 10:05:58,t359,,z,3465.0,
359.0,e360,LoadSS,,t360,,z,3465.0,ExtendedExample
360.0,,Close,,,,,,ExtendedExample
361.0,e362,,31/10/2023 10:06:01,t362,b42,,3465.0,ExtendedExample
362.0,e363,UnloadSS,31/10/2023 10:06:02,t363,,z,3465.0,ExtendedExample
363.0,e364,UnloadAL,31/10/2023 10:06:03,,,,3465.0,ExtendedExample
,e365,LoadAL,31/10/2023 10:06:04,t365,,,8012.0,
365.0,e366,LoadFS,31/10/2023 10:06:05,t366,,y,8012.0,ExtendedExample
366.0,e367,Open,31/10/2023 10:06:06,t367,,,8012.0,ExtendedExample
367.0,e368,Fill,31/10/2023 10:06:07,t368,,,8012.0,ExtendedExample
368.0,e369,,31/10/2023 10:06:08,,,,,ExtendedExample
369.0,e370,LoadSS,31/10/2023 10:06:09,t370,,y,8012.0,ExtendedExample
370.0,e371,Close,31/10/2023 10:06:10,,,,8012.0,ExtendedExample
371.0,e372,Seal,31/10/2023 10:06:11,t372,b43,,,ExtendedExample
372.0,e373,UnloadSS,31/10/2023 10:06:12,t373,,y,8012.0,ExtendedExample
,e374,LoadFS,31/10/2023 10:06:13,t374,,x,8012.0,
374.0,e375,Open,31/10/2023 10:06:14,t375,,,8012.0,ExtendedExample
375.0,e376,Fill,,t376,,,8012.0,ExtendedExample
376.0,,,,t377,,x,8012.0,ExtendedExample
,e378,LoadSS,,t378,,,,
378.0,e379,Close,,t379,,,8012.0,
379.0,e380,Seal,31/10/2023 10:06:19,t380,b44,,8012.0,ExtendedExample
,e381,UnloadSS,31/10/2023 10:06:20,t381,,,8012.0,ExtendedExample
,e382,LoadFS,31/10/2023 10:06:21,t382,,z,8012.0,
